Country Code,Year,Inflation
AFW,1983,9.927936399043247
AFW,1984,11.315050036397771
AFW,1985,5.2972135062317705
AFW,1986,0.32606411260803014
AFW,1987,2.356511639789659
AFW,1988,3.692770551723875
AFW,1989,3.500118758436315
AFW,1990,4.822443156220011
AFW,1991,3.3128057535960806
AFW,1992,0.48293822201271297
AFW,1993,2.806707989671459
AFW,1994,24.794195245571622
AFW,1995,7.396920688998527
AFW,1996,6.1864280993407235
AFW,1997,2.960138770188024
AFW,1998,5.309483069109014
AFW,1999,4.501097309018242
AFW,2000,4.815430261735003
AFW,2001,3.8617951928382723
AFW,2002,2.6733973874015717
AFW,2003,1.7188216320288419
AFW,2004,5.68195133906449
AFW,2005,6.688933948535464
AFW,2006,4.643322139797945
AFW,2007,5.4770289823888305
AFW,2008,9.116999672895886
