Country,Component 1,Component 2,Component 3,cluster
SGP,1.8251912884411974,0.6869904786795954,-0.21103744250557707,3
SLB,0.9391872891692162,-0.6210348640116147,-0.09402042204356036,1
SLV,0.6674053557264475,-0.5775528983266199,-0.20751408158884904,1
SUR,2.4375976291489785,-0.2549427287983301,-0.007963605284835534,3
SWZ,2.2944263736174104,1.152086321299926,0.1933577391606667,3
SYC,0.8630308844672291,-1.0865074755502055,-0.0032727181874732877,8
SYR,-1.0989040009647784,0.3044175376730761,-0.04384882118271822,5
TCD,-1.3190546843574222,0.3390978820378262,0.085040023947763,5
TGO,-1.201760491311355,0.022461583483503737,-0.07385300604003336,5
THA,-0.7994225161841921,1.0338687656271865,0.0387720076333507,2
TON,2.050029992318215,-1.2191525615104768,0.05405432996871081,8
TTO,0.9666892169637132,-0.6940847048847208,-0.08233539060469179,1
TUN,-1.371991726238733,-0.9132834817409679,0.03894704739831519,0
TUR,-0.1253139638921006,1.9279532618687059,0.30769971942519136,9
TZA,-1.1703607340576736,1.1876111514632623,0.49953891680463947,2
URY,2.1760529337634473,1.0111450555192294,0.06896273465536296,3
USA,-1.837776142811594,-0.2707244828576855,0.17019209892523257,0
VCT,0.9746313382981223,-1.099246861959001,-0.0395644125758007,8
VUT,1.0046172992201445,-0.7918363812435883,-0.06388865704823721,1
WSM,1.2485336259156248,-1.6174805086549036,0.05781844962005691,8
ZAF,-1.2452930527825516,0.24502907671182417,0.021602363673820825,5
ZMB,-1.3174440910024439,0.46577912719673137,0.17917687882376113,5
