Country,Population_Coeff,Inflation_Coeff,Import_Coeff,Export_Coeff,Cluster
FJI,-0.5310776554610676,-0.6655709864013372,1.7294714819794803,-0.5328228401170756,6
GAB,0.28616642568321304,-1.6877792527967608,0.9096732516090196,0.49193957550452816,0
GHA,0.07684010949814682,-1.0237926506847883,-0.6440174985942771,1.5909700397809188,2
GMB,1.0664868934052996,-1.5615385338087953,0.6358974529788438,-0.140845812575348,5
GNQ,0.844735149775259,-1.5586997852665703,-0.1916545183207891,0.9056191538121007,4
GRD,-0.5027487075369006,-0.572071664027337,1.7295423791067992,-0.6547220075425617,6
GTM,0.14213770876641632,-1.0091738439524665,-0.7034712011711208,1.570507336357171,2
HKG,-0.3441482970881147,-1.314525727126711,0.20564465884707314,1.4530293653677524,2
HND,-0.470921124387998,-0.9424614522241839,-0.2657218316540374,1.6791044082662192,2
HTI,-0.8216184694807314,-0.8801175062560337,1.5932909132388955,0.10844506249786937,3
IND,-0.24451016221062438,-0.879111832456347,-0.5642693668415774,1.687891361508549,2
IRN,-0.7935096471785896,-1.0267995626701902,1.4842897319653467,0.33601947788343306,3
JAM,0.679375611766041,-1.3159886394540314,1.2138467433854743,-0.5772337156974838,1
JOR,1.4356923644432167,-1.236691416210657,0.3418503427242452,-0.5408512909568047,5
KEN,1.41709448126304,-0.7298336265411811,0.4383613780715425,-1.1256222327934011,1
KNA,-0.363810982754696,-1.4178150227644088,0.5231538411168427,1.258472164402262,2
KOR,1.224581109065368,-1.173722415219182,-0.7742562614909433,0.7233975676447574,4
KWT,-0.7024725902617137,-0.9972497612499801,0.11928019547247147,1.5804421560392221,2
LBY,-1.1911388104700955,-0.5711153897277,0.2885709370431597,1.473683263154636,2
LCA,0.2103706122522753,-1.3280069828097525,1.4441390679853128,-0.32650269742783533,6
LKA,-0.6112572012177098,-1.0420080590421739,1.592772574415437,0.06049268584444638,3
LSO,-0.7542663588826168,-1.2184396653693041,1.005094845718063,0.967611178533858,3
MAR,1.50556593236949,-1.305745178191937,-0.16447269588562477,-0.035348058291928705,5
MDG,0.08305749845666148,-1.6286677950481543,0.5025394726557535,1.0430708239357391,0
MDV,-0.12385441394599972,-0.9879420349934617,1.6491925461649164,-0.5373960972254551,6
MEX,1.1000793174579553,-1.2996782320363292,0.8348988128601631,-0.6352998982817889,1
MMR,-0.4930297634557572,-1.2868486607447611,0.38153062925624626,1.398347794944272,2
MRT,-0.9539098303227671,-1.0348238290280136,0.8500323317685904,1.1387013275821907,3
MUS,0.11171572207827866,-1.127011411089085,1.5569219289689324,-0.541626239958126,6
MWI,1.1806565396156967,-1.58398142973529,0.11301290410936828,0.29031198601022506,5
MYS,-1.04132043200007,-0.47612640577717524,1.6355452225867333,-0.11809838480948799,3
NER,-0.7173349618292716,-0.8748055536925156,1.6483290462703282,-0.05618853074854091,3
NGA,0.8301928359218687,-0.9755269983924113,1.1563104545830232,-1.010976292112481,1
NPL,0.536021161382865,-0.9536068933089414,1.3741525284340959,-0.9565667965080202,1
PAK,1.1285829920522794,-1.3417988377344678,0.7785996678349485,-0.56538382215276,1
PAN,-0.22614847336854277,-0.3860335495822893,1.6500500048933495,-1.0378679819425174,6
PER,1.3901051537913847,-0.7697820156574859,0.4906639150183119,-1.1109870531522101,1
PHL,1.170381750382125,0.3205333370399623,0.0959849793608216,-1.5869000667829092,1
PNG,-0.6435940376024648,-0.7899474174416087,-0.26665421643020804,1.7001956714742812,2
PRY,-0.728567738334723,-1.108726406941683,0.39324726436143326,1.4440468809149727,2
QAT,0.49711884068693385,-1.7205173724755385,0.462801909549921,0.7605966222386834,0
RWA,1.5599176908437216,-1.18895856297319,0.019738607836005177,-0.390697735706537,5
SAU,1.294584634911827,-1.2342132895992095,0.601853024402456,-0.6622243697150734,1
SEN,0.7646209294928699,-1.717890987789797,0.40647989309506505,0.5467901652018621,0
SGP,-0.8235625483761732,-0.9386144930052016,1.5474643905445276,0.21471265083684746,3
SLB,-0.3629114281335465,-1.1109099238048976,1.6167117181961095,-0.14289036625766544,3
SLV,0.4197021388163718,-1.7240234959606913,0.6301834324180239,0.6741379247262955,0
SUR,-0.7443780314875013,-1.0792312420366976,1.4678558399839752,0.35575343354022393,3
SWZ,-0.893698588272742,-0.1187432167198622,-0.6502140670445683,1.6626558720371722,2
SYC,0.37563374902914454,-1.7126491070390077,0.7948549958970555,0.542160362112808,0
SYR,-1.0638443220773968,-0.7884856461006086,1.4414137049859232,0.41091626319208224,3
TCD,1.437407252121095,-1.3881543456768088,-0.07789454747972548,0.028641641035439612,5
TGO,1.4812603615518583,-1.314790646261207,0.09472189938404563,-0.26119161467469715,5
